County,Trap State,Lat,Long,Band #,Age,Sex,Release Date
Anderson,Missouri,32.052996,-95.5328835,8207,A,M,1/23/2014
Anderson,Missouri,32.052996,-95.5328835,8209,J,F,1/23/2014
Anderson,Missouri,32.052996,-95.5328835,8210,J,F,1/24/2014
Anderson,Missouri,32.052996,-95.5328835,8211,J,F,1/23/2014
Anderson,Missouri,32.052996,-95.5328835,8212,J,F,1/23/2014
Anderson,Missouri,32.052996,-95.5328835,8213,A,F,1/23/2014
Anderson,Missouri,32.052996,-95.5328835,8214,J,F,1/23/2014
Anderson,Alabama,31.581582,-95.5243921,8236,A,M,2/26/2014
Anderson,Alabama,31.581582,-95.5243921,8237,A,M,2/26/2014
Anderson,Alabama,31.581582,-95.5243921,8238,A,F,2/26/2014
Anderson,Alabama,32.052996,-95.5328835,8239,A,F,2/26/2014
Anderson,Alabama,31.581582,-95.5243921,8240,A,F,2/26/2014
Anderson,Alabama,32.052996,-95.5328835,8241,A,F,2/26/2014
Anderson,Alabama,31.581582,-95.5243921,8242,A,F,2/26/2014
Anderson,Alabama,31.581582,-95.5243921,8243,A,F,2/26/2014
Anderson,Alabama,32.052996,-95.5328835,8244,A,M,3/13/2014
Anderson,Alabama,32.052996,-95.5328835,8245,A,M,3/13/2014
Anderson,Alabama,32.052996,-95.5328835,8246,A,M,3/13/2014
Anderson,Alabama,32.052996,-95.5328835,8247,A,M,3/13/2014
Anderson,Alabama,32.052996,-95.5328835,8248,A,F,3/13/2014
Anderson,Tennessee,32.052996,-95.5328835,8301,J,M,2/27/2014
Anderson,Tennessee,32.052996,-95.5328835,8302,A,F,2/27/2014
Anderson,Tennessee,32.052996,-95.5328835,8303,A,F,2/27/2014
Anderson,Tennessee,32.052996,-95.5328835,8304,A,F,2/27/2014
Anderson,Tennessee,32.052996,-95.5328835,8305,A,F,2/27/2014
Anderson,Tennessee,32.052996,-95.5328835,8306,A,F,2/27/2014
Anderson,Tennessee,32.052996,-95.5328835,8307,J,F,2/27/2014
Anderson,Tennessee,32.052996,-95.5328835,8308,J,M,2/27/2014
Anderson,Tennessee,32.052996,-95.5328835,8309,A,F,2/27/2014
